Attr1,Attr2,Attr3,Attr4,Attr5,Attr6,Attr7,Attr8,Attr9,Attr10,Attr12,Attr13,Attr14,Attr15,Attr16,Attr17,Attr18,Attr19,Attr20,Attr21,Attr22,Attr23,Attr24,Attr25,Attr26,Attr27,Attr28,Attr29,Attr30,Attr31,Attr32,Attr33,Attr34,Attr35,Attr36,Attr37,Attr38,Attr39,Satisf
0.585433518,-0.282345639,-0.355247792,-0.05048628,-0.282835347,-0.432421554,1,0,-1.320645707,1,1,1,1,1,0,0,0,0,1,1,0,1,1,1,1,1,1,0,1,0,1,1,1,0,1,0,0,1,1
0.585433518,-0.282345639,-0.355247792,0.285432504,-0.240888362,0.268448728,1,0,-0.523913432,1,1,1,1,1,1,1,0,0,1,1,0,1,1,1,1,1,1,0,1,0,1,0,0,0,0,0,0,1,1
0.585433518,-0.282345639,-0.355247792,0.285432504,-0.925392888,-1.258570241,1,1,-1.923350409,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1,1,0,0,1,0,1,1,1,0,0,0,1,1,1
-0.207332829,-1.120468133,1.43702542,-1.471681135,1.422625195,0.684550257,1,1,0.431350918,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,1,1,1,1,1,1
-0.207332829,-1.120468133,1.43702542,-0.369178459,-0.812343992,-0.308233199,1,1,0.078791269,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0,1,1,1,0,1,0,1,1,1,0,1,1,1,1,1
-0.207332829,1.393899348,-1.251384397,-0.05048628,0.455443847,0.351459165,1,1,0.431350918,0,0,0,0,0,0,1,0,0,1,1,0,1,0,1,1,1,0,0,0,0,1,1,1,0,1,1,1,1,0
-1.000099176,2.232021841,-1.251384397,-1.221895372,0.136926541,0.369437627,0,0,-0.523913432,1,0,0,0,0,1,0,1,0,1,1,0,1,1,1,1,1,0,0,1,1,1,1,1,0,1,1,1,1,1
1.378199865,-0.282345639,-1.251384397,0.285432504,-0.506616399,0.087502061,1,1,0.078791269,1,1,0,0,0,1,1,0,1,1,1,0,1,1,1,1,1,0,0,0,0,1,1,1,0,1,1,1,1,1
0.585433518,0.555776854,-1.251384397,-0.670644035,-1.045095447,-0.126240031,1,1,0.078791269,1,1,1,1,0,1,0,0,0,1,1,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1
1.378199865,-0.282345639,-1.251384397,0.638577892,0.36501311,0.281320853,1,0,-0.523913432,1,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,0,1,1
2.170966211,-1.120468133,-1.251384397,0.638577892,-0.119999936,-0.402957892,1,1,-1.320645707,1,1,1,1,1,0,0,1,1,1,1,0,1,1,1,1,1,1,0,0,1,1,1,1,0,1,0,0,1,1
0.585433518,0.555776854,-1.251384397,-0.369178459,-0.199788852,0.578920681,1,1,0.431350918,1,0,1,0,1,0,0,1,0,1,1,0,0,0,0,0,1,0,0,1,0,1,1,1,1,1,0,0,1,1
-1.000099176,-0.282345639,0.540888814,-0.954883006,0.57008582,0.075460505,1,0,-0.968086059,1,0,0,0,0,1,0,0,0,1,1,0,1,1,0,0,1,1,0,1,1,1,1,1,0,0,1,0,1,0
1.378199865,-1.120468133,-0.355247792,1.008949885,-0.005893957,-0.606819599,1,0,-0.717941008,0,1,1,1,1,1,0,1,0,1,1,0,0,0,0,0,1,1,0,1,1,1,0,1,1,0,0,0,0,1
-0.207332829,1.393899348,-1.251384397,0.638577892,-0.554485821,0.045996841,1,0,-0.523913432,1,0,1,0,0,1,1,0,0,1,0,0,1,1,0,1,1,0,0,1,0,1,1,1,0,1,0,1,1,0
1.378199865,-1.120468133,-0.355247792,1.008949885,-0.159503245,-0.432421554,1,1,-0.968086059,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,0,1,0,0,1,0,0,1
-1.000099176,1.393899348,-0.355247792,-1.221895372,1.347961526,1.002833634,1,0,1.886905371,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,0,0,1,0,1,1,1,1
-0.207332829,0.555776854,-0.355247792,-0.369178459,-0.199788852,0.347845242,1,0,0.68149597,1,1,1,1,1,1,1,0,0,1,1,0,1,1,1,1,1,1,0,1,1,1,1,0,0,0,1,0,1,1
-1.792865522,-0.282345639,2.333162026,-1.221895372,0.513572277,0.933008388,1,1,1.034055619,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1
1.378199865,-1.120468133,-0.355247792,0.638577892,-0.459847519,0.045996841,1,0,0.875523546,1,0,0,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0,0,1,0,1,1,1,1,1,0,1,1,1
-1.792865522,0.555776854,1.43702542,-0.670644035,-0.282835347,0.171275247,0,0,0.078791269,1,1,1,1,1,1,0,0,0,1,0,0,1,1,1,1,1,0,0,1,0,1,1,1,1,1,0,1,1,1
-0.207332829,0.555776854,-0.355247792,-0.670644035,-0.86808328,0.414974039,1,0,-0.231344401,1,0,0,0,0,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1,0,1,0
0.585433518,0.555776854,-1.251384397,-0.369178459,-0.554485821,0.570297129,1,0,-0.523913432,1,1,1,1,1,1,0,0,0,1,1,0,1,1,1,0,1,0,0,1,0,1,1,1,0,0,1,0,1,1
-1.792865522,1.393899348,0.540888814,-1.471681135,0.831258896,0.634930359,1,1,0.431350918,1,1,1,1,1,1,0,0,1,1,1,0,0,1,1,1,0,1,0,1,1,1,0,0,1,1,1,1,1,1
-1.000099176,0.555776854,0.540888814,-1.704240293,3.362242401,1.010824228,1,0,0.078791269,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,1,0,0,0,1,1,0,1,1
0.585433518,-1.120468133,0.540888814,-2.117678796,1.250605312,0.942373806,1,0,0.078791269,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,1,0,0,0,0,1,0,1,1
-1.792865522,-0.282345639,2.333162026,-1.221895372,0.704860694,0.347845242,1,1,-0.523913432,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,1,0,0,0,1,1,0,1,1
-1.000099176,-0.282345639,1.43702542,0.638577892,0.36501311,0.297912391,1,1,-0.523913432,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,1,1,1,0,0,1,0,1,1
-1.792865522,0.555776854,1.43702542,1.008949885,-0.282835347,-0.780151846,1,1,-0.523913432,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,0,1,0,0,0,1,1,0,1,1
