Attr1,Attr2,Attr3,Attr4,Attr5,Attr6,Attr7,Attr8,Attr9,Attr10,Attr11,Attr12,Attr13,Attr14,Attr15,Attr16,Attr17,Attr18,Attr19,Attr20,Attr21,Attr22,Attr23,Attr24,Attr25,Attr26,Attr27,Attr28,Attr29,Attr30,Attr31,Attr32,Attr33,Attr34,Attr35,Attr36,Attr37,Attr38,Attr39,Satisf
1,1,2,256,2.164352856,3.807535028,1,0,4.477121255,1,5,0,0,0,0,1,0,0,0,1,1,0,1,1,0,0,1,1,0,1,1,1,1,1,0,0,1,0,1,0
4,0,1,484,2.041392685,3.127104798,1,0,4.602059991,0,5,1,1,1,1,1,0,1,0,1,1,0,0,0,0,0,1,1,0,1,1,1,0,1,1,0,0,0,0,1
2,3,0,441,1.924279286,3.77815125,1,0,4.698970004,1,4.84509804,0,1,0,0,1,1,0,0,1,0,0,1,1,0,1,1,0,0,1,0,1,1,1,0,1,0,1,1,0
4,0,1,484,2.008600172,3.301029996,1,1,4.477121255,1,4.698970004,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,0,1,0,0,1,0,0,1
1,3,1,225,2.330413773,4.73239376,1,0,5.903089987,1,5.903089987,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,0,0,1,0,1,1,1,1
2,2,1,324,2,4.079181246,1,0,5.301029996,1,5.301029996,1,1,1,1,1,1,0,0,1,1,0,1,1,1,1,1,1,0,1,1,1,1,0,0,0,1,0,1,1
0,1,4,225,2.152288344,4.662757832,1,1,5.477121255,1,5.602059991,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1
4,0,1,441,1.944482672,3.77815125,1,0,5.397940009,1,5.477121255,0,0,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0,0,1,0,1,1,1,1,1,0,1,1,1
0,2,3,289,1.982271233,3.903089987,0,0,5,1,5,1,1,1,1,1,0,0,0,1,0,0,1,1,1,1,1,0,0,1,0,1,1,1,1,1,0,1,1,1
2,2,1,289,1.857332496,4.146128036,1,0,4.84509804,1,5,0,0,0,0,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1,0,1,0
3,2,0,324,1.924279286,4.301029996,1,0,4.698970004,1,4.84509804,1,1,1,1,1,0,0,0,1,1,0,1,1,1,0,1,0,0,1,0,1,1,1,0,0,1,0,1,1
0,3,2,196,2.220108088,4.365487985,1,1,5.176091259,1,5.301029996,1,1,1,1,1,0,0,1,1,1,0,0,1,1,1,0,1,0,1,1,1,0,0,1,1,1,1,1,1
1,2,2,169,2.760422483,4.740362689,1,0,5,1,5,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,1,0,0,0,1,1,0,1,1
3,0,2,121,2.309630167,4.672097858,1,0,5,1,5.176091259,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,1,0,0,0,0,1,0,1,1
0,1,4,225,2.193124598,4.079181246,1,1,4.698970004,1,4.698970004,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,1,0,0,0,1,1,0,1,1
1,1,3,441,2.120573931,4.029383778,1,1,4.698970004,1,5,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,1,1,1,0,0,1,0,1,1
0,2,3,484,1.982271233,2.954242509,1,1,4.698970004,1,4.698970004,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,0,1,0,0,0,1,1,0,1,1
1,1,3,169,2.255272505,4.934498451,1,1,4.698970004,1,5,1,1,1,1,1,0,0,0,1,1,0,1,1,1,1,1,0,0,0,1,1,1,1,0,1,1,1,1,1
1,1,3,144,2.450249108,4.303196057,1,1,5,1,5.301029996,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0,0,0,0,1,0,1,1
1,2,2,441,2.033423755,3.875061263,1,1,4.698970004,1,4.698970004,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0
1,2,2,225,2.079181246,4.161368002,1,0,4.698970004,1,4.698970004,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,0,0,1,0,0,0,1,1
2,3,0,100,2.209515015,4.322219295,1,1,5.176091259,1,5.477121255,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,1,1,1
4,1,0,400,1.77815125,2.903089987,1,0,4.301029996,1,4.698970004,1,1,1,1,0,0,1,0,1,1,0,1,1,1,1,1,0,0,0,1,1,0,1,0,0,1,0,1,1
3,0,2,484,1.875061263,2.792391689,1,1,5.176091259,1,4.84509804,0,0,1,1,0,0,1,1,1,1,0,1,1,1,1,1,0,0,0,1,1,1,0,0,1,1,0,1,0
1,1,3,225,2.176091259,4.334453751,1,1,4.477121255,1,4.477121255,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,0,0,1,1,1,1,1
3,2,0,400,1.653212514,0.301029996,1,0,4.698970004,0,5,1,1,1,1,1,0,1,0,1,1,0,1,1,1,1,1,0,0,1,0,1,0,1,1,0,1,0,1,1
2,2,1,324,2.049218023,4.204119983,1,0,5,1,5,1,1,1,1,1,0,0,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1,0,0,1,1,0,1,1
2,2,1,324,2.071882007,3.77815125,1,0,4.698970004,1,5,1,1,1,1,1,0,0,0,1,1,0,1,1,1,1,1,1,0,1,0,1,0,0,1,0,0,0,1,1
1,2,2,324,2.033423755,4.322219295,1,0,5.698970004,1,5.698970004,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,0,1,1,1,0,0,1,1,0,1,1,1
1,3,1,196,2.176091259,4.73239376,1,0,5.397940009,1,5.477121255,1,0,1,1,1,0,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1
0,2,3,324,2.283301229,4.342422681,1,0,5.477121255,1,5.477121255,1,0,1,1,1,0,0,0,1,1,0,1,1,1,1,1,0,0,1,1,1,1,0,1,0,1,0,1,1
2,2,1,289,2.008600172,4.301029996,1,0,5,1,5,1,0,1,1,1,0,0,1,1,1,0,1,1,1,1,1,0,0,1,0,1,1,0,0,0,1,0,1,1
2,2,1,225,1.880813592,3.77815125,1,0,5,1,5.176091259,1,0,1,1,1,0,1,0,1,1,0,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1,0,1,1
4,1,0,441,1.424881637,0.301029996,1,0,4.477121255,0,4.698970004,1,0,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0,0,1,0,1,1,1,0,1,1,0,1,0
3,1,1,441,1.390935107,0.301029996,1,0,4.301029996,1,4.477121255,1,0,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0,0,1,0,1,1,1,0,0,1,0,1,1
2,2,1,361,2.008600172,3,0,1,4.698970004,1,4.698970004,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1
0,2,3,361,2.079181246,4.477121255,0,1,5,1,5,1,1,1,1,1,0,0,0,1,1,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,1,1
0,2,3,361,1.924279286,4,1,1,4.698970004,1,4.698970004,1,1,1,1,1,0,0,0,1,0,0,1,1,1,1,1,0,0,0,1,1,1,1,0,0,1,0,1,0
5,0,0,324,2.176091259,3.84509804,1,1,5.301029996,0,5.602059991,0,1,1,1,1,0,0,0,1,1,0,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,0,1,1
1,1,3,225,2.408239965,4.369215857,1,1,5.176091259,1,5.301029996,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,0,1,1,1,0,0,1,1,1,1,1,1
4,0,1,361,2.176091259,3.806179974,1,1,4.477121255,0,5,1,1,1,1,0,0,0,1,1,1,0,1,1,1,1,0,1,1,1,0,1,1,1,0,0,1,0,1,0
2,1,2,400,2.209515015,3.755874856,0,1,4.698970004,0,5,1,1,1,1,1,0,0,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,1,0
3,1,1,361,2.079181246,3.322219295,1,1,4.477121255,1,4.698970004,0,1,1,1,0,0,1,0,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,1,1
1,1,3,361,2.120573931,3.954242509,0,1,5,1,4.477121255,1,1,1,1,1,0,0,1,1,1,0,1,1,1,1,1,1,0,0,1,1,1,1,0,0,1,1,1,1
3,2,0,484,1.959041392,4.080626487,1,1,4.477121255,1,4.477121255,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,0,1,0,0,1,1,1,1,1,1
