,index,date,movieCd,audiCnt,scrnCnt,showCnt
387,7,20190208,20184105,3895,151,260
388,8,20190208,20185124,3641,48,70
389,9,20190208,20184896,3042,67,126
390,0,20190209,20182530,776215,1703,9526
391,1,20190209,20188282,247117,1043,4268
392,2,20190209,20180868,86771,718,2195
393,3,20190209,20186261,82465,700,1573
394,4,20190209,20185478,33522,447,669
395,5,20190209,20185444,16994,414,563
396,6,20190209,20185124,9454,44,72
397,7,20190209,20184105,6466,174,291
398,8,20190209,20184574,5592,66,120
399,9,20190209,20184896,5302,67,129
400,0,20190210,20182530,660049,1707,9392
401,1,20190210,20188282,216214,1012,4158
402,2,20190210,20186261,82872,690,1573
403,3,20190210,20180868,75176,698,2093
404,4,20190210,20185478,33390,464,686
405,5,20190210,20185444,17213,403,533
406,6,20190210,20185124,9980,41,71
407,7,20190210,20184574,5926,72,127
408,8,20190210,20184105,5642,175,287
409,9,20190210,20184896,5235,79,140
410,0,20190211,20182530,214339,1571,8681
411,1,20190211,20188282,66011,946,4047
412,2,20190211,20180868,29614,698,2148
413,3,20190211,20186261,23346,642,1498
414,4,20190211,20185478,3425,320,426
415,5,20190211,20185444,2764,329,410
416,6,20190211,20184105,2627,159,269
417,7,20190211,20184896,2292,68,136
418,8,20190211,20184574,1929,63,114
419,9,20190211,20195790,1196,47,84
420,0,20190212,20182530,198064,1571,8617
421,1,20190212,20188282,63473,966,4010
422,2,20190212,20180868,28998,714,2137
423,3,20190212,20186261,25083,684,1510
424,4,20190212,20185478,4752,342,460
425,5,20190212,20184896,4446,97,166
426,6,20190212,20185444,4116,340,432
427,7,20190212,20184574,2592,74,125
428,8,20190212,20184105,2550,160,264
429,9,20190212,20185881,2262,25,25
430,0,20190213,20182530,172086,1193,6439
431,1,20190213,20185881,81424,884,3833
432,2,20190213,20188282,48230,673,2679
433,3,20190213,20174169,42736,625,2741
434,4,20190213,20186261,16226,445,809
435,5,20190213,20180868,11793,369,879
436,6,20190213,20185478,3272,168,211
437,7,20190213,20196404,3056,206,234
438,8,20190213,20184896,2167,61,124
439,9,20190213,20184574,1767,53,90
440,0,20190214,20182530,167585,1027,5217
441,1,20190214,20185881,85900,806,3339
442,2,20190214,20195915,72440,612,2477
443,3,20190214,20188282,40088,601,1862
444,4,20190214,20174169,36571,605,2123
445,5,20190214,20162003,27534,207,426
446,6,20190214,20184888,27117,558,1445
447,7,20190214,20186261,12920,359,498
448,8,20190214,20195984,7720,202,302
449,9,20190214,20180868,5088,207,347
450,0,20190215,20182530,191503,1059,5451
451,1,20190215,20185881,98609,833,3477
452,2,20190215,20195915,57716,635,2516
453,3,20190215,20188282,45876,613,1849
454,4,20190215,20174169,29956,585,2004
455,5,20190215,20184888,22072,557,1406
456,6,20190215,20186261,13649,363,523
457,7,20190215,20162003,12279,198,410
458,8,20190215,20195984,4501,202,293
459,9,20190215,20196404,4446,222,244
460,0,20190216,20182530,405476,1158,6016
461,1,20190216,20185881,209875,937,3710
462,2,20190216,20188282,104037,651,1875
463,3,20190216,20195915,86488,657,2499
464,4,20190216,20174169,49596,610,1753
465,5,20190216,20184888,43130,573,1361
466,6,20190216,20186261,35909,475,707
467,7,20190216,20162003,22683,208,410
468,8,20190216,20185478,8716,165,213
469,9,20190216,20195984,8084,201,298
470,0,20190217,20182530,348325,1166,5916
471,1,20190217,20185881,225305,993,3788
472,2,20190217,20188282,93432,687,1906
473,3,20190217,20195915,71284,629,2245
474,4,20190217,20174169,42773,601,1651
475,5,20190217,20186261,39505,503,764
476,6,20190217,20184888,36980,560,1275
477,7,20190217,20162003,20268,213,408
478,8,20190217,20185478,10271,174,225
479,9,20190217,20195984,7034,195,291
480,0,20190218,20182530,114307,1071,5461
481,1,20190218,20185881,94251,960,3822
482,2,20190218,20188282,29618,631,1911
483,3,20190218,20195915,29529,585,2096
484,4,20190218,20174169,14066,565,1521
485,5,20190218,20184888,13657,508,1191
486,6,20190218,20186261,11869,402,617
487,7,20190218,20162003,5377,175,325
488,8,20190218,20195984,2711,188,271
489,9,20190218,20196404,2237,193,206
490,0,20190219,20185881,116432,1047,3981
491,1,20190219,20182530,114270,1073,5431
492,2,20190219,20188282,30226,637,1875
493,3,20190219,20195915,25667,590,1986
494,4,20190219,20174169,15585,580,1524
495,5,20190219,20184888,14203,508,1162
496,6,20190219,20186261,12901,408,638
497,7,20190219,20162003,4723,166,307
498,8,20190219,20020222,3892,33,34
499,9,20190219,20177539,3198,23,23
500,0,20190220,20177539,184517,1162,5881
501,1,20190220,20182530,91845,836,3673
502,2,20190220,20185881,80798,830,3097
503,3,20190220,20185576,19775,480,1433
504,4,20190220,20020222,15433,33,203
505,5,20190220,20188282,15056,414,834
506,6,20190220,20195743,14382,403,519
507,7,20190220,20195915,11279,371,777
508,8,20190220,20184888,7646,292,454
509,9,20190220,20186261,7457,190,257
510,0,20190221,20177539,144986,1149,5725
511,1,20190221,20182530,82354,807,3546
512,2,20190221,20185881,77606,838,3142
513,3,20190221,20195743,15342,414,541
514,4,20190221,20020222,13537,33,199
515,5,20190221,20188282,13508,401,749
516,6,20190221,20185576,13161,479,1246
517,7,20190221,20195915,8629,319,628
518,8,20190221,20186261,7196,186,250
519,9,20190221,20184888,6798,257,368
520,0,20190222,20177539,177329,1174,5771
521,1,20190222,20182530,93652,858,3644
522,2,20190222,20185881,90479,916,3447
523,3,20190222,20195743,18481,461,647
524,4,20190222,20188282,16460,412,771
525,5,20190222,20020222,13715,33,203
526,6,20190222,20185576,11867,470,1137
527,7,20190222,20195915,8453,305,576
528,8,20190222,20186261,8298,212,294
529,9,20190222,20184888,6195,250,357
530,0,20190223,20177539,348834,1142,5685
531,1,20190223,20182530,199025,890,3795
532,2,20190223,20185881,187720,1046,4008
533,3,20190223,20195743,40730,568,986
534,4,20190223,20188282,32998,408,778
535,5,20190223,20185576,17615,467,931
536,6,20190223,20186261,17185,305,443
537,7,20190223,20020222,17148,33,213
538,8,20190223,20195915,11100,293,481
539,9,20190223,20184888,11000,266,363
540,0,20190224,20177539,313336,1155,5576
541,1,20190224,20182530,185583,905,3751
542,2,20190224,20185881,175832,1040,3907
543,3,20190224,20195743,39830,575,1013
544,4,20190224,20188282,29462,404,751
545,5,20190224,20186261,18137,306,445
546,6,20190224,20185576,15598,470,883
547,7,20190224,20020222,15464,33,201
548,8,20190224,20180937,10029,83,190
549,9,20190224,20195915,9598,295,471
550,0,20190225,20177539,119778,1080,5320
551,1,20190225,20185881,67363,943,3741
552,2,20190225,20182530,65055,827,3580
553,3,20190225,20195743,19068,466,770
554,4,20190225,20188282,10083,382,759
555,5,20190225,20186261,8634,261,386
556,6,20190225,20020222,7600,33,191
557,7,20190225,20180937,6471,79,210
558,8,20190225,20185576,6281,441,865
559,9,20190225,20195915,5746,290,483
560,0,20190226,20177539,106800,1103,5281
561,1,20190226,20185881,67934,953,3739
562,2,20190226,20182530,61140,840,3577
563,3,20190226,20195743,21893,470,789
564,4,20190226,20188282,11831,390,762
565,5,20190226,20186261,10401,268,398
566,6,20190226,20180937,8122,78,218
567,7,20190226,20020222,7034,33,192
568,8,20190226,20184888,5886,244,352
569,9,20190226,20185576,5721,432,842
570,0,20190227,20177539,167791,906,3693
571,1,20190227,20185881,138913,815,2909
572,2,20190227,20196601,99754,737,2861
573,3,20190227,20182530,89179,646,2524
574,4,20190227,20176442,43408,624,2278
575,5,20190227,20195791,22216,529,1408
576,6,20190227,20195743,16135,334,464
577,7,20190227,20180937,9798,73,181
578,8,20190227,20020222,8661,33,195
579,9,20190227,20188282,7721,169,261
580,0,20190228,20177539,106839,909,3798
581,1,20190228,20196601,82232,794,3113
582,2,20190228,20185881,81279,850,3117
583,3,20190228,20182530,66832,638,2548
584,4,20190228,20176442,22126,585,2066
585,5,20190228,20195743,16434,352,507
586,6,20190228,20195791,13602,499,1347
587,7,20190228,20196585,8047,315,377
588,8,20190228,20186261,7737,164,209
589,9,20190228,20180937,7086,83,191
590,0,20190301,20196601,262491,1052,4108
591,1,20190301,20177539,186751,949,3907
592,2,20190301,20185881,148186,963,3446
593,3,20190301,20182530,134879,669,2532
594,4,20190301,20176442,35351,587,1603
595,5,20190301,20195743,26834,449,717
596,6,20190301,20195791,14964,482,972
597,7,20190301,20186261,14474,203,262
598,8,20190301,20180937,13111,114,247
599,9,20190301,20196585,11459,345,452
600,0,20190302,20196601,189038,1094,4364
601,1,20190302,20177539,162038,955,3780
602,2,20190302,20185881,127417,974,3449
603,3,20190302,20182530,112618,728,2580
604,4,20190302,20176442,24981,566,1365
605,5,20190302,20195743,18739,443,726
606,6,20190302,20180937,11912,128,262
607,7,20190302,20195791,11680,463,836
608,8,20190302,20184574,10469,147,204
609,9,20190302,20186261,10445,206,281
610,0,20190303,20196601,154533,1085,4310
611,1,20190303,20177539,122329,912,3626
612,2,20190303,20185881,97042,957,3355
613,3,20190303,20182530,82814,698,2522
614,4,20190303,20176442,20748,567,1256
615,5,20190303,20195743,15065,441,697
616,6,20190303,20186261,9099,209,280
617,7,20190303,20180937,8911,120,255
618,8,20190303,20184574,8146,148,207
619,9,20190303,20195791,7342,421,768
620,0,20190304,20196601,44117,890,3877
621,1,20190304,20177539,37179,832,3339
622,2,20190304,20185881,27595,843,3005
623,3,20190304,20182530,26877,613,2418
624,4,20190304,20176442,5959,484,1043
625,5,20190304,20180937,4268,110,260
626,6,20190304,20184574,3254,129,203
627,7,20190304,20195743,2895,260,347
628,8,20190304,20195791,2396,352,611
629,9,20190304,20195789,2176,183,302
630,0,20190305,20196601,35164,900,3790
631,1,20190305,20177539,33650,833,3315
632,2,20190305,20182530,25684,620,2405
633,3,20190305,20185881,24411,826,2945
634,4,20190305,20176442,5243,466,1027
635,5,20190305,20180937,4055,111,260
636,6,20190305,20184574,3965,145,225
637,7,20190305,20195791,2380,366,626
638,8,20190305,20185350,2073,129,216
639,9,20190305,20195789,2055,183,295
640,0,20190306,20181877,461134,2017,11021
641,1,20190306,20196601,20715,600,1906
642,2,20190306,20177539,15911,524,1444
643,3,20190306,20185881,15115,560,1607
644,4,20190306,20182530,12235,460,902
645,5,20190306,20176103,3999,19,19
646,6,20190306,20180937,3273,88,189
647,7,20190306,20184574,2138,87,123
648,8,20190306,20195943,1329,6,6
649,9,20190306,20196323,1138,53,70
650,0,20190307,20181877,312694,1997,10954
651,1,20190307,20196601,20085,620,1829
652,2,20190307,20177539,14538,518,1360
653,3,20190307,20185881,14173,556,1538
654,4,20190307,20182530,12010,491,884
655,5,20190307,20180937,2773,88,159
656,6,20190307,20184574,2643,85,131
657,7,20190307,20185350,1523,128,171
658,8,20190307,20197723,1514,37,57
659,9,20190307,20176103,1334,8,8
660,0,20190308,20181877,413068,2014,11220
661,1,20190308,20196601,23212,633,1866
662,2,20190308,20177539,18892,553,1401
663,3,20190308,20185881,16076,564,1528
664,4,20190308,20182530,13978,489,950
665,5,20190308,20180937,3629,93,175
666,6,20190308,20184574,3098,91,136
667,7,20190308,20185350,1366,131,177
668,8,20190308,20196323,1271,49,66
669,9,20190308,20183085,861,4,5
670,0,20190309,20181877,1001712,2100,12039
671,1,20190309,20196601,54780,633,1789
672,2,20190309,20177539,38446,560,1315
673,3,20190309,20185881,35898,555,1420
674,4,20190309,20182530,28632,523,974
675,5,20190309,20184574,7293,121,177
676,6,20190309,20177282,6960,322,389
677,7,20190309,20180937,5932,83,166
678,8,20190309,20195743,4275,173,202
679,9,20190309,20196323,1804,43,63
680,0,20190310,20181877,847394,2089,11734
681,1,20190310,20196601,52938,603,1734
682,2,20190310,20185881,35633,573,1412
683,3,20190310,20177539,33408,546,1285
684,4,20190310,20182530,29335,507,962
685,5,20190310,20177282,8459,320,383
686,6,20190310,20184574,6266,114,162
687,7,20190310,20195743,5253,169,198
688,8,20190310,20180937,4662,84,166
689,9,20190310,20196323,1843,48,67
690,0,20190311,20181877,170529,1915,10379
691,1,20190311,20196601,13394,618,1701
692,2,20190311,20182530,10946,530,1071
693,3,20190311,20185881,10735,528,1420
694,4,20190311,20177539,10706,527,1295
695,5,20190311,20184574,2761,114,183
696,6,20190311,20180937,2409,90,176
697,7,20190311,20175407,2152,11,12
698,8,20190311,20176103,1620,8,8
699,9,20190311,20197483,1465,7,7
700,0,20190312,20181877,137977,1935,10223
701,1,20190312,20196601,13015,616,1666
702,2,20190312,20182530,11755,531,1073
703,3,20190312,20185881,10600,536,1385
704,4,20190312,20177539,9976,544,1295
705,5,20190312,20197283,3580,15,15
706,6,20190312,20176103,3493,17,17
707,7,20190312,20184574,2725,119,177
